GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1,SpeechSettings.Builder,43,14,0,0,14,4,9,3,9,3
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1,SpeechSettings,51,6,0,0,14,3,14,2,14,2
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1,SpeechClient,59,72,0,0,18,17,12,10,12,10
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1.stub,SpeechStub,25,3,0,0,5,1,5,1,5,1
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1.stub,GrpcSpeechStub,50,139,0,0,15,59,8,9,8,9
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1.stub,SpeechStubSettings,28,80,1,1,7,30,5,14,4,14
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1.stub,SpeechStubSettings.Builder,45,230,0,0,14,81,4,9,4,9
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1.stub,GrpcSpeechCallableFactory,15,24,0,0,3,5,3,5,3,5
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,GrpcSpeechStub,50,139,0,0,15,59,8,9,8,9
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,GrpcAdaptationStub,56,487,0,0,17,201,10,25,10,25
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,AdaptationStubSettings.Builder,91,293,0,0,19,84,4,15,4,15
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,AdaptationStubSettings.new PagedListResponseFactory() {...},0,13,0,0,0,5,0,2,0,2
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,AdaptationStubSettings,28,144,1,1,7,45,5,20,4,20
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,GrpcSpeechCallableFactory,15,24,0,0,3,5,3,5,3,5
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,SpeechStub,25,3,0,0,5,1,5,1,5,1
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,SpeechStubSettings.Builder,45,230,0,0,14,81,4,9,4,9
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,AdaptationStubSettings.new PagedListResponseFactory() {...},0,13,0,0,0,4,0,2,0,2
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,GrpcAdaptationCallableFactory,26,13,0,0,5,3,5,3,5,3
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,AdaptationStubSettings.new PagedListDescriptor() {...},18,14,1,1,4,5,4,4,3,4
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,AdaptationStubSettings.new PagedListDescriptor() {...},18,14,1,1,4,5,4,4,3,4
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,AdaptationStub,60,3,0,0,12,1,12,1,12,1
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1.stub,SpeechStubSettings,28,80,1,1,7,30,5,14,4,14
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,SpeechSettings,51,6,0,0,14,3,14,2,14,2
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,AdaptationClient,70,327,8,8,17,97,20,41,12,41
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,SpeechClient,59,72,0,0,18,17,12,10,12,10
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,AdaptationClient.ListCustomClassesPagedResponse,0,20,0,0,0,6,0,3,0,3
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,SpeechSettings.Builder,43,14,0,0,14,4,9,3,9,3
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,AdaptationClient.ListCustomClassesPage,0,22,0,0,0,5,0,4,0,4
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,AdaptationClient.ListCustomClassesFixedSizeCollection,6,11,0,0,1,3,1,2,1,2
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,AdaptationClient.ListPhraseSetPage,0,22,0,0,0,5,0,4,0,4
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,AdaptationSettings.Builder,67,14,0,0,20,4,15,3,15,3
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,AdaptationClient.ListPhraseSetFixedSizeCollection,6,11,0,0,1,3,1,2,1,2
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,AdaptationSettings,81,6,0,0,20,3,20,2,20,2
CoverageAggregator/google-cloud-speech,com.google.cloud.speech.v1p1beta1,AdaptationClient.ListPhraseSetPagedResponse,0,20,0,0,0,6,0,3,0,3
CoverageAggregator/google-cloud-texttospeech,com.google.cloud.texttospeech.v1,TextToSpeechSettings,41,6,0,0,12,3,12,2,12,2
CoverageAggregator/google-cloud-texttospeech,com.google.cloud.texttospeech.v1,TextToSpeechClient,46,63,0,0,15,19,10,9,10,9
CoverageAggregator/google-cloud-texttospeech,com.google.cloud.texttospeech.v1,TextToSpeechSettings.Builder,35,14,0,0,12,4,7,3,7,3
CoverageAggregator/google-cloud-texttospeech,com.google.cloud.texttospeech.v1beta1,TextToSpeechClient,46,63,0,0,15,19,10,9,10,9
